endereco;valor;area;quartos;vagas;banheiros;pagina
Rua Wanderley - Perdizes, São Paulo - SP;330000.0;27;1;0;1;8
Rua Barão do Bananal, 305 - Pompeia, São Paulo - SP;1660000.0;123;3;3;4;8
Rua Lincoln Albuquerque, 33 - Perdizes, São Paulo - SP;529900.0;110;2;0;2;8
Rua Inocêncio Unhate, 96 - Perdizes, São Paulo - SP;2900000.0;192;3;3;4;8
Rua Apinajés - Perdizes, São Paulo - SP;1850000.0;226;4;3;4;8
Rua Ministro Gastão Mesquita, 725 - Perdizes, São Paulo - SP;890000.0;86;3;2;3;8
Rua Iperoig, 0 - Perdizes, São Paulo - SP;1000000.0;112;3;2;2;8
Rua Ministro Ferreira Alves, 805 - Perdizes, São Paulo - SP;1000000.0;73;2;2;2;8
Rua Apinajés - Perdizes, São Paulo - SP;1850000.0;226;4;3;4;9
Rua André Casado, 245 - Perdizes, São Paulo - SP;916000.0;59;2;1;2;9
Rua Ministro Gastão Mesquita, 725 - Perdizes, São Paulo - SP;890000.0;86;3;2;3;9
Rua Iperoig, 0 - Perdizes, São Paulo - SP;1000000.0;112;3;2;2;9
Rua Ministro Ferreira Alves, 805 - Perdizes, São Paulo - SP;1000000.0;73;2;2;2;9
Rua Iperoig, 333 - Perdizes, São Paulo - SP;2000000.0;171;3;3;4;9
Rua Itapicuru, 881 - Perdizes, São Paulo - SP;1307000.0;122;3;2;2;9
Perdizes, São Paulo - SP;1900000.0;169;3;3;3;9
Rua Venâncio Aires, 930 - Pompeia, São Paulo - SP;0.0;31;1;0;1;9
Rua Apinajés, 969 - Perdizes, São Paulo - SP;1790000.0;226;4;3;5;9
Avenida Paula Ferreira, 3750 - Perdizes, São Paulo - SP;168000.0;35;2;0;1;9
Rua Turiassu - Perdizes, São Paulo - SP;1440000.0;120;2;2;3;9
Rua Turiassu, 119 - Perdizes, São Paulo - SP;750223.0;90;3;2;3;9
Rua Ministro Godói, 1454 - Perdizes, São Paulo - SP;990000.0;114;3;2;4;9
Rua Cayowaá, 186 - Perdizes, São Paulo - SP;1100060.0;80;2;1;3;9
Rua Cajaíba, 1036 - Pompeia, São Paulo - SP;0.0;72;3;2;2;9
Rua Diana, 331 - Perdizes, São Paulo - SP;859000.0;70;2;2;2;9
Rua Cardoso de Almeida - Perdizes, São Paulo - SP;1099000.0;136;3;1;2;9
Rua Francisco Bayardo - Perdizes, São Paulo - SP;695000.0;72;3;2;2;9
Rua Cotoxó, 1289 - Perdizes, São Paulo - SP;835000.0;93;3;2;3;9
Rua Diana - Perdizes, São Paulo - SP;1290000.0;123;3;2;3;9
Rua Aimberê - Perdizes, São Paulo - SP;1950000.0;157;4;2;5;9
Rua Cajaíba, 1036 - Pompeia, São Paulo - SP;0.0;72;2;2;0;9
Rua Cotoxó, 300 - Perdizes, São Paulo - SP;3219400.0;190;4;3;6;9
Rua Cayowaá - Perdizes, São Paulo - SP;594000.0;71;2;1;2;9
Rua Paraguaçu - Perdizes, São Paulo - SP;1150000.0;174;3;3;5;9
Perdizes, São Paulo - SP;1500000.0;128;4;2;5;9
Rua Monte Alegre - Perdizes, São Paulo - SP;266000.0;30;1;1;1;9
Rua Diana - Perdizes, São Paulo - SP;550000.0;102;1;0;2;9
Rua Raul Pompéia, 1032 - Morada do Sol, São Paulo - SP;1330000.0;72;2;1;1;9
Rua Aimberê, 2050 - Perdizes, São Paulo - SP;1800000.0;157;4;2;3;9
Perdizes, São Paulo - SP;320000.0;37;1;1;1;9
Perdizes, São Paulo - SP;1125000.0;121;3;2;2;9
Rua Cayowaá - Perdizes, São Paulo - SP;900000.0;120;2;1;2;9
Rua Havaí, 295 - Perdizes, São Paulo - SP;870000.0;74;2;2;3;9
Rua Apinajés, 569 - Perdizes, São Paulo - SP;2200000.0;180;4;4;5;9
Rua Cayowaá, 1258 - Perdizes, São Paulo - SP;1010000.0;110;3;1;3;10
Rua Campevas, 238 - Perdizes, São Paulo - SP;0.0;106;2;1;4;10
